snomed_code,name,concept_type,snomed_uri
276301004,Comprehensive health assessment,Procedure,http://snomed.info/id/276301004
308646004,Primary care assessment,Procedure,http://snomed.info/id/308646004
282375000,Pediatric health assessment,Procedure,http://snomed.info/id/282375000
257858004,Acute care assessment,Procedure,http://snomed.info/id/257858004
424121000000109,Artificial intelligence in healthcare,Substance,http://snomed.info/id/424121000000109
368209003,Risk assessment procedure,Procedure,http://snomed.info/id/368209003
41819003,Elderly health assessment,Procedure,http://snomed.info/id/41819003
117681000119100,Electronic health record system,System,http://snomed.info/id/117681000119100
304527004,Diagnostic procedure,Procedure,http://snomed.info/id/304527004
309201000,Patient history taking,Procedure,http://snomed.info/id/309201000
289693003,Physical examination,Procedure,http://snomed.info/id/289693003
324121000000109,Laboratory procedure,Procedure,http://snomed.info/id/324121000000109
118343000,Imaging procedure,Procedure,http://snomed.info/id/118343000
908130001,Differential diagnosis,Procedure,http://snomed.info/id/908130001
266045000,Diagnosis confirmation,Procedure,http://snomed.info/id/266045000
408456000,Clinical decision making,Procedure,http://snomed.info/id/408456000
751000119104,Patient consultation,Procedure,http://snomed.info/id/751000119104
164909000,Diagnosis,Procedure,http://snomed.info/id/164909000
11274003,Pediatric examination,Procedure,http://snomed.info/id/11274003
324121000000107,Neonatal examination,Procedure,http://snomed.info/id/324121000000107
249077003,Growth monitoring (pediatric),Procedure,http://snomed.info/id/249077003
32212007,Pediatric immunization,Procedure,http://snomed.info/id/32212007
290601001,Infant developmental screening,Procedure,http://snomed.info/id/290601001
363406005,Geriatric assessment,Procedure,http://snomed.info/id/363406005
26913002,Cognitive assessment in elderly,Procedure,http://snomed.info/id/26913002
405813003,Falls assessment,Procedure,http://snomed.info/id/405813003
18300007,Geriatric syndrome,Procedure,http://snomed.info/id/18300007
951000119104,Polypharmacy in elderly,Procedure,http://snomed.info/id/951000119104
428301000000109,Acute care examination,Procedure,http://snomed.info/id/428301000000109
122148000,Acute respiratory infection,Procedure,http://snomed.info/id/122148000
39579001,Acute pain management,Procedure,http://snomed.info/id/39579001
38000007,Emergency care intervention,Procedure,http://snomed.info/id/38000007
384826000,Chronic disease management,Procedure,http://snomed.info/id/384826000
90721000119103,Preventive care services,Procedure,http://snomed.info/id/90721000119103
320128006,Routine physical examination,Procedure,http://snomed.info/id/320128006
907211000119104,Treatment plan,Procedure,http://snomed.info/id/907211000119104
433144002,Pharmacotherapy,Procedure,http://snomed.info/id/433144002
10305001,Surgical treatment,Procedure,http://snomed.info/id/10305001
237000119104,Rehabilitation therapy,Procedure,http://snomed.info/id/237000119104
19173003,Behavioral therapy,Procedure,http://snomed.info/id/19173003
32412002,Nutritional intervention,Procedure,http://snomed.info/id/32412002
31547003,Clinical observation,Procedure,http://snomed.info/id/31547003
129131000000109,Decision support,Procedure,http://snomed.info/id/129131000000109
267038008,Machine learning model in medicine,Procedure,http://snomed.info/id/267038008
230690007,Diabetes mellitus type 2,Finding,http://snomed.info/id/230690007
706177006,Electrocardiogram machine,Physical Object,http://snomed.info/id/706177006
267036007,Chest pain,Finding,http://snomed.info/id/267036007
29857009,Dyspnea,Finding,http://snomed.info/id/29857009
56265001,Hypertension,Finding,http://snomed.info/id/38341003
373873005,Metformin (substance),Substance,http://snomed.info/id/373873005
91251008,Heart Failure Clinical Pathway,Situation,http://snomed.info/id/91251008
311466009,Blood glucose level,Observable Entity,http://snomed.info/id/311466009
166717003,Hemoglobin A1c,Observable Entity,http://snomed.info/id/431314004
26158009,Magnetic Resonance Imaging,Physical Object,http://snomed.info/id/26158009
387517004,Lisinopril (substance),Substance,http://snomed.info/id/387517004
302419005,Serum creatinine,Observable Entity,http://snomed.info/id/302419005
225337009,Myocardial infarction,Finding,http://snomed.info/id/225337009
195967001,Asthma,Finding,http://snomed.info/id/195967001
73211009,Pneumonia,Finding,http://snomed.info/id/73211009
363346000,Major depressive disorder,Finding,http://snomed.info/id/363346000
722411006,Osteoarthritis,Finding,http://snomed.info/id/22531008
40055000,Chronic Kidney Disease,Finding,http://snomed.info/id/90708001
7891000122101,Chest X-ray finding,Observable Entity,http://snomed.info/id/7891000122101
700470000,Intermittent,Temporal Pattern,http://snomed.info/id/700470000
442083009,Heart,Body Structure,http://snomed.info/id/442083009
1240311000000100,Asthma Management Pathway,Situation,http://snomed.info/id/1240311000000100
394814009,Pulmonology,Qualifier Value,http://snomed.info/id/394814009
422587007,Fever,Finding,http://snomed.info/id/37066001
62315008,Fatigue,Finding,http://snomed.info/id/86957009
49727002,Headache,Finding,http://snomed.info/id/25064002
162397003,Joint pain,Finding,http://snomed.info/id/57676002
89837001,Lung,Body Structure,http://snomed.info/id/89837001
64572001,Brain,Body Structure,http://snomed.info/id/12830008
39607008,Kidney,Body Structure,http://snomed.info/id/39607008
46706000,Stethoscope,Physical Object,http://snomed.info/id/46706000
394802001,Cardiology,Qualifier Value,http://snomed.info/id/394802001
386864001,Amoxicillin (substance),Substance,http://snomed.info/id/386864001
702854004,Diagnostic algorithm,Situation,http://snomed.info/id/702854004
441862004,Risk Score,Situation,http://snomed.info/id/441862004
225323000,Family History,Finding,http://snomed.info/id/161831008
302225007,Smoking,Finding,http://snomed.info/id/285179001
160670009,Obesity,Finding,http://snomed.info/id/414916001
712500003,Clinical Pathway,Situation,http://snomed.info/id/712500003
394587001,Neurology,Qualifier Value,http://snomed.info/id/394587001
408480009,Gastroenterology,Qualifier Value,http://snomed.info/id/408480009
394600006,General practice,Qualifier Value,http://snomed.info/id/394600006
394592000,Psychiatry,Qualifier Value,http://snomed.info/id/394592000
394578007,Dermatology,Qualifier Value,http://snomed.info/id/394578007
44054006,Type 1 Diabetes Mellitus,Finding,http://snomed.info/id/44054006
426749004,Systolic Hypertension,Finding,http://snomed.info/id/426749004
