start_id,end_id,relationship_type
1,2,is_a
3,1,is_a
4,1,is_a
5,8,related_to
6,1,is_a
7,1,is_a
9,18,used_for
10,18,related_to
11,35,is_a
12,9,used_for
13,9,used_for
14,18,related_to
15,18,related_to
16,18,related_to
17,1,related_to
19,11,is_a
20,11,is_a
21,19,related_to
22,1,used_for
24,7,is_a
25,24,related_to
26,24,related_to
27,24,associated_with
28,27,associated_with
29,4,is_a
30,29,related_to
31,29,related_to
32,4,related_to
33,18,used_for
34,1,related_to
35,1,is_a
36,18,related_to
37,36,used_for
38,36,used_for
39,36,used_for
40,36,used_for
41,36,used_for
42,16,related_to
43,16,related_to
44,5,related_to
